model,issue,variable,sd_across_years,is_temporally_constant
llama4_maverick,abortion,absingle,0.27749837403772804,FALSE
llama4_maverick,gender_roles,fechld,0.22778072344036163,FALSE
llama4_maverick,gender_roles,fefam,0.5975796593554389,FALSE
llama4_maverick,gender_roles,fepol,0.4429339411136563,FALSE
llama4_maverick,gender_roles,fepresch,0.2334368300487059,FALSE
llama4_maverick,police_violence,polattak,0.05074162634049247,FALSE
llama4_maverick,police_violence,polescap,0.1522248790214776,FALSE
llama4_maverick,police_violence,polhitok,0.12129568697262451,FALSE
llama4_maverick,police_violence,polmurdr,0.08051557998728982,FALSE
llama4_maverick,suicide,letdie1,0.40056939530603236,FALSE
llama4_maverick,suicide,suicide1,0.3831195985337043,FALSE
mistral_large3,abortion,abany,0.37939542261275044,FALSE
mistral_large3,abortion,abdefect,0,TRUE
mistral_large3,abortion,abhlth,0,TRUE
mistral_large3,abortion,abnomore,0.07576114073608446,FALSE
mistral_large3,abortion,abpoor,0.06859943405700351,FALSE
mistral_large3,abortion,abrape,0,TRUE
mistral_large3,abortion,absingle,0.36107385885827054,FALSE
mistral_large3,gender_roles,fechld,0.28271458439897307,FALSE
mistral_large3,gender_roles,fefam,0.5350741517080478,FALSE
mistral_large3,gender_roles,fepol,0.4859943170351647,FALSE
mistral_large3,gender_roles,fepresch,0.40851445258523533,FALSE
mistral_large3,police_violence,polattak,0,TRUE
mistral_large3,police_violence,polescap,0.4570771709786927,FALSE
mistral_large3,police_violence,polhitok,0,TRUE
mistral_large3,police_violence,polmurdr,0.19178532059415374,FALSE
mistral_large3,suicide,letdie1,0.4934903884907623,FALSE
mistral_large3,suicide,suicide1,0.21589276645984845,FALSE
mistral_nemo,abortion,abany,0.03713906763541038,FALSE
mistral_nemo,abortion,abdefect,0,TRUE
mistral_nemo,abortion,abhlth,0,TRUE
mistral_nemo,abortion,abnomore,0.08186768159996101,FALSE
mistral_nemo,abortion,abpoor,0.03429971702850176,FALSE
mistral_nemo,abortion,abrape,0.03429971702850175,FALSE
mistral_nemo,abortion,absingle,0.04776651472212254,FALSE
mistral_nemo,gender_roles,fechld,0.46780399710791803,FALSE
mistral_nemo,gender_roles,fefam,0.333514443552256,FALSE
mistral_nemo,gender_roles,fepol,0.31897653792407954,FALSE
mistral_nemo,gender_roles,fepresch,0.3667325369028338,FALSE
mistral_nemo,police_violence,polattak,0.28735816091365524,FALSE
mistral_nemo,police_violence,polescap,0.10954451150103327,FALSE
mistral_nemo,police_violence,polhitok,0.2873581609136551,FALSE
mistral_nemo,police_violence,polmurdr,0.03651483716701107,FALSE
mistral_nemo,suicide,letdie1,0.10513862779269591,FALSE
mistral_nemo,suicide,suicide1,0.07240279857964908,FALSE
mistral_small4,abortion,abany,0.2526704662836947,FALSE
mistral_small4,abortion,abdefect,0.09413228509270449,FALSE
mistral_small4,abortion,abhlth,0.03429971702850176,FALSE
mistral_small4,abortion,abnomore,0.06537204504606134,FALSE
mistral_small4,abortion,abpoor,0.09622504486493758,FALSE
mistral_small4,abortion,abrape,0.17551172952662178,FALSE
mistral_small4,abortion,absingle,0.2390457218668786,FALSE
mistral_small4,gender_roles,fechld,0.33395035119956884,FALSE
mistral_small4,gender_roles,fefam,0.9369631144820365,FALSE
mistral_small4,gender_roles,fepol,0.4611876012289759,FALSE
mistral_small4,gender_roles,fepresch,0.5392486180224035,FALSE
mistral_small4,police_violence,polattak,0.05074162634049247,FALSE
mistral_small4,police_violence,polescap,0.39150199172393685,FALSE
mistral_small4,police_violence,polhitok,0.04642383454426297,FALSE
mistral_small4,police_violence,polmurdr,0.3344213014112689,FALSE
mistral_small4,suicide,letdie1,0.43975702767123964,FALSE
mistral_small4,suicide,suicide1,0.48048453108855105,FALSE
qwen3_235b,abortion,abany,0.03713906763541038,FALSE
qwen3_235b,abortion,abdefect,0,TRUE
qwen3_235b,abortion,abhlth,0,TRUE
qwen3_235b,abortion,abnomore,0,TRUE
qwen3_235b,abortion,abpoor,0,TRUE
qwen3_235b,abortion,abrape,0,TRUE
qwen3_235b,abortion,absingle,0,TRUE
qwen3_235b,gender_roles,fechld,0.22586388102931187,FALSE
qwen3_235b,gender_roles,fefam,0.6264114497259977,FALSE
qwen3_235b,gender_roles,fepol,0,TRUE
qwen3_235b,gender_roles,fepresch,0.43730067923337484,FALSE
qwen3_235b,police_violence,polattak,0,TRUE
qwen3_235b,police_violence,polescap,0.21226745220209312,FALSE
qwen3_235b,police_violence,polhitok,0,TRUE
qwen3_235b,police_violence,polmurdr,0,TRUE
qwen3_235b,suicide,letdie1,0.19421842786099802,FALSE
qwen3_235b,suicide,suicide1,0,TRUE
qwen3_next_80b,abortion,abany,0,TRUE
qwen3_next_80b,abortion,abdefect,0,TRUE
qwen3_next_80b,abortion,abhlth,0,TRUE
qwen3_next_80b,abortion,abnomore,0,TRUE
qwen3_next_80b,abortion,abpoor,0,TRUE
qwen3_next_80b,abortion,abrape,0,TRUE
qwen3_next_80b,abortion,absingle,0,TRUE
qwen3_next_80b,gender_roles,fechld,0.4680362924117026,FALSE
qwen3_next_80b,gender_roles,fefam,0.6204252865832307,FALSE
qwen3_next_80b,gender_roles,fepol,0.3401680257083044,FALSE
qwen3_next_80b,gender_roles,fepresch,0.6923494970655762,FALSE
qwen3_next_80b,police_violence,polattak,0,TRUE
qwen3_next_80b,police_violence,polescap,0.46958039474240904,FALSE
qwen3_next_80b,police_violence,polhitok,0,TRUE
qwen3_next_80b,police_violence,polmurdr,0.07302967433402213,FALSE
qwen3_next_80b,suicide,letdie1,0.4612629757129144,FALSE
qwen3_next_80b,suicide,suicide1,0.44491428157423507,FALSE
